,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Punta Arenas,CL,-53.16,54.34,62,40,16.11
1,Riverton,US,43.02,31.06,85,1,12.17
2,Esperance,TT,10.24,77.0,94,75,3.36
3,Pisco,PE,-13.71,71.6,30,20,5.82
4,Coquimbo,CL,-29.95,62.6,77,75,6.93
5,Gallup,US,35.53,24.21,80,1,3.36
6,Constitucion,MX,23.99,32.0,67,5,3.36
7,Dikson,RU,73.51,-2.43,86,32,19.95
8,Ambulu,ID,-8.35,78.08,100,36,3.29
9,Vrangel,RU,42.73,31.28,100,0,18.66
10,Mar del Plata,AR,-46.43,63.82,61,88,12.91
11,Homer,US,59.64,19.36,84,90,19.46
12,Praya,ID,-8.71,78.8,78,75,3.36
13,Tiksi,RU,71.64,-29.43,47,20,0.83
14,Kapaa,US,22.08,69.57,65,75,13.87
15,Timelkam,AT,48.0,33.8,92,75,5.82
16,Lavrentiya,RU,65.58,-2.7,100,0,9.93
17,Tromso,NO,69.65,13.73,58,0,21.92
18,Hilo,US,19.71,64.04,83,1,6.93
19,Konosha,RU,60.97,7.88,83,68,6.76
20,Hermanus,ZA,-34.42,73.31,47,0,6.64
21,Mishelevka,RU,52.86,1.94,56,64,2.77
22,Hermanus,ZA,-34.42,73.31,47,0,6.64
23,Kahului,US,20.89,67.55,84,90,25.28
24,Evensk,RU,61.92,13.24,100,80,27.94
25,Rikitea,PF,-23.12,75.47,100,88,16.87
26,Esperance,TT,10.24,77.0,94,75,3.36
27,Ushuaia,AR,-54.81,49.01,53,0,20.8
28,Havelock,US,34.88,39.11,96,40,3.36
29,Rikitea,PF,-23.12,75.47,100,88,16.87
30,Lebu,ET,8.96,69.8,43,40,11.41
31,Carora,VE,10.17,80.02,59,8,9.93
32,Rikitea,PF,-23.12,75.47,100,88,16.87
33,Saint-Francois,FR,46.42,51.8,66,90,6.93
34,Hobart,AU,-42.88,60.8,82,75,3.29
35,Herat,AF,34.35,51.8,81,0,6.93
36,Skelleftea,SE,64.75,24.8,92,75,3.36
37,Shambu,ET,9.57,69.71,45,0,3.11
38,Toro,CO,4.61,66.2,93,40,1.99
39,Leningradskiy,RU,69.38,-16.92,100,12,1.54
40,Longyearbyen,NO,78.22,37.4,86,75,28.86
41,Cape Town,ZA,-33.93,75.2,57,40,10.29
42,Castro,CL,-42.48,53.6,87,90,9.17
43,Georgetown,GY,6.8,77.95,94,90,11.41
44,Aklavik,CA,68.22,3.2,77,90,5.82
45,Rikitea,PF,-23.12,75.47,100,88,16.87
46,Victoria,BN,5.28,78.58,88,75,1.12
47,Kargasok,RU,59.06,6.17,57,48,9.93
48,Samur,RU,41.83,44.29,100,92,16.6
49,Chuy,UY,-33.69,72.1,89,88,12.39
50,Daru,SL,7.99,94.28,36,0,6.08
51,Souillac,FR,45.6,48.99,87,75,16.11
52,Bluff,AU,-23.58,76.64,77,0,10.45
53,Amuntai,ID,-2.42,76.82,92,56,1.72
54,Rikitea,PF,-23.12,75.47,100,88,16.87
55,Atuona,PF,-9.8,80.51,100,88,14.07
56,Punta Arenas,CL,-53.16,54.34,62,40,16.11
57,Vaini,IN,15.34,72.52,46,12,3.36
58,Buraydah,SA,26.33,68.0,64,0,9.17
59,Kapaa,US,22.08,69.57,65,75,13.87
60,New Norfolk,AU,-42.78,60.8,82,75,2.21
61,Buala,SB,-8.15,77.41,100,88,2.77
62,Haines Junction,CA,60.75,15.44,74,8,6.53
63,Klaksvik,FO,62.23,44.6,87,0,14.99
64,Bronnoysund,NO,65.46,30.67,64,0,28.86
65,Toma,JP,43.82,15.71,72,68,9.89
66,Albany,US,42.65,16.09,76,40,4.7
67,Marienburg,DE,52.12,43.56,75,75,6.93
68,La Libertad,PE,-16.38,58.06,37,12,3.11
69,Chicama,PE,-7.84,69.8,88,40,8.05
70,Tokur,RU,53.13,-28.26,41,0,2.39
71,Albany,US,42.65,16.09,76,40,4.7
72,Yumen,CN,40.29,20.71,78,76,8.55
73,Okhotsk,RU,59.36,13.96,95,80,8.32
74,Hermanus,ZA,-34.42,73.31,47,0,6.64
75,Manggar,ID,-2.88,77.5,98,20,3.22
76,Havoysund,NO,71.0,25.02,79,0,9.17
77,Arua,UG,3.02,82.72,63,0,5.01
78,Kokopo,PG,-4.34,74.71,100,92,5.79
79,Ponta do Sol,BR,-20.63,79.52,92,68,4.41
80,Keti Bandar,PK,24.14,73.49,97,0,5.91
81,Kongolo,CD,-5.39,84.52,62,20,2.89
82,Ushuaia,AR,-54.81,49.01,53,0,20.8
83,Mataura,NZ,-46.19,42.53,94,32,7.14
84,Ushuaia,AR,-54.81,49.01,53,0,20.8
85,Punta Arenas,CL,-53.16,54.34,62,40,16.11
86,Jamestown,AU,-33.21,67.15,74,0,7.31
87,Port Elizabeth,US,39.31,25.25,84,1,5.12
88,Hermanus,ZA,-34.42,73.31,47,0,6.64
89,Port Blair,IN,11.67,83.44,100,64,12.62
90,Quatre Cocos,MU,-20.21,82.4,65,75,14.99
91,Poim,RU,53.03,14.32,85,88,5.08
92,Sao Joao da Barra,BR,-21.64,86.0,62,0,11.41
93,Albany,US,42.65,16.09,76,40,4.7
94,Port Lincoln,AU,-34.72,62.56,100,0,12.28
95,Port Elizabeth,US,39.31,25.25,84,1,5.12
96,Hermanus,ZA,-34.42,73.31,47,0,6.64
97,Chokurdakh,RU,70.62,-41.76,0,20,3.06
98,Punta Arenas,CL,-53.16,54.34,62,40,16.11
99,Saint George,GR,39.45,49.05,91,20,2.51
100,Port Alfred,ZA,-33.59,69.71,89,88,14.41
101,Busselton,AU,-33.64,64.0,100,0,21.07
102,Shelburne,CA,44.08,31.01,80,1,11.41
103,Ushuaia,AR,-54.81,49.01,53,0,20.8
104,Mochudi,BW,-24.38,96.8,16,40,5.82
105,Coahuayana,MX,18.62,67.28,44,0,3.0
106,Bethel,US,60.79,-9.86,81,1,6.93
107,Ushuaia,AR,-54.81,49.01,53,0,20.8
108,Punta Arenas,CL,-53.16,54.34,62,40,16.11
109,Aleppo,SY,36.2,51.22,100,92,4.9
110,Busselton,AU,-33.64,64.0,100,0,21.07
111,Vaini,IN,15.34,72.52,46,12,3.36
112,Rikitea,PF,-23.12,75.47,100,88,16.87
113,Dingle,PH,11.0,76.87,85,64,12.57
114,Ziro,IN,27.54,48.34,100,80,1.54
115,Vaini,IN,15.34,72.52,46,12,3.36
116,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
117,Avarua,CK,-21.21,73.4,100,20,2.24
118,Iqaluit,CA,63.75,14.0,78,90,6.93
119,Rorvik,NO,64.86,32.83,64,0,20.8
120,Busselton,AU,-33.64,64.0,100,0,21.07
121,Bathsheba,BB,13.22,82.4,74,75,18.34
122,Gilgit,PK,35.92,14.81,92,68,0.54
123,Jamestown,AU,-33.21,67.15,74,0,7.31
124,Bethel,US,60.79,-9.86,81,1,6.93
125,Hobart,AU,-42.88,60.8,82,75,3.29
126,Bac Giang,VN,21.27,69.8,73,75,5.82
127,Peniche,PT,39.36,58.51,67,20,8.05
128,Ushuaia,AR,-54.81,49.01,53,0,20.8
129,Avarua,CK,-21.21,73.4,100,20,2.24
130,Castro,CL,-42.48,53.6,87,90,9.17
131,Santa Cruz Cabralia,BR,-16.28,86.0,62,40,14.99
132,Schenectady,US,42.81,16.95,100,1,3.06
133,Billings,US,45.79,42.08,40,20,23.04
134,Pombal,BR,-6.77,90.68,41,0,6.31
135,Hithadhoo,MV,-0.6,82.81,100,0,7.76
136,Port Blair,IN,11.67,83.44,100,64,12.62
137,Nanortalik,GL,60.14,29.57,90,88,11.16
138,Vila Franca do Campo,PT,37.72,64.4,93,90,6.93
139,Bluff,AU,-23.58,76.64,77,0,10.45
140,Barrow,AR,-38.31,80.42,45,0,11.56
141,Myitkyina,MM,25.38,63.41,100,80,2.39
142,Hilo,US,19.71,64.04,83,1,6.93
143,Airai,TL,-8.93,71.65,89,36,1.5
144,Joshimath,IN,30.57,5.36,85,0,1.54
145,Gasa,BT,27.91,-23.89,0,0,0.09
146,Ledyard,US,41.44,21.97,74,1,6.93
147,Ushuaia,AR,-54.81,49.01,53,0,20.8
148,Cockburn Town,TC,21.46,80.42,99,0,11.61
149,La Paz,MX,24.15,50.0,93,5,4.7
150,Ushuaia,AR,-54.81,49.01,53,0,20.8
151,Ushuaia,AR,-54.81,49.01,53,0,20.8
152,Conakry,GN,9.52,86.18,93,12,7.81
153,Bayangol,MN,48.91,-5.26,49,0,5.01
154,New Norfolk,AU,-42.78,60.8,82,75,2.21
155,Albany,US,42.65,16.09,76,40,4.7
156,Busselton,AU,-33.64,64.0,100,0,21.07
157,Broome,GB,52.47,47.61,87,40,10.29
158,Rikitea,PF,-23.12,75.47,100,88,16.87
159,Pundaguitan,PH,6.37,78.94,100,92,1.54
